round_epochs,loss,mean_absolute_error,bound_accuracy,val_loss,val_mean_absolute_error,val_bound_accuracy,activation,batch_size,epochs,losses,optimizer
800,0.0024398523469076113,0.0024384435,0.96495026,0.002294617472216487,0.0022931898,0.96965903,elu,128,800,mean_absolute_error,RMSProp
800,0.45299862181698836,0.45299852,0.0002530383,0.4535272419452667,0.45352715,0.00027835768,elu,128,800,mean_absolute_error,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x1555be2d0>
800,0.15568348268667856,0.005984674,0.8496934,0.15438316762447357,0.00588825,0.8549061,elu,128,800,binary_crossentropy,Adam
800,0.6187037980114972,0.41634974,0.0003986894,0.6188942193984985,0.41703987,0.00027835768,relu,64,800,binary_crossentropy,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x1555be2d0>
400,0.15563779451228954,0.005840144,0.84881854,0.1543249785900116,0.0056927404,0.85817677,elu,64,400,binary_crossentropy,Nadam
1200,0.15503143579871567,0.002642595,0.96192676,0.15373747050762177,0.0025033914,0.96666664,relu,64,1200,binary_crossentropy,Adam
800,0.15524528843385202,0.0040253205,0.919052,0.15392670035362244,0.0037741747,0.9310717,relu,64,800,binary_crossentropy,Adam
800,0.4566527896457248,0.45665273,0.00025024233,0.4571863114833832,0.45718622,0.0003131524,elu,128,800,mean_absolute_error,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x1555be190>
800,0.15501742285710793,0.0025977213,0.9636842,0.15371118485927582,0.0022882528,0.9702853,elu,128,800,binary_crossentropy,RMSProp
800,0.20800969004631042,0.4540677,0.00014213019,0.20841564238071442,0.45458227,0.00020876827,relu,128,800,mean_squared_error,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x1555be2d0>
400,0.21189527489520885,0.4583104,0.00013876462,0.21231064200401306,0.45882928,0.00020876827,elu,64,400,mean_squared_error,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x1555be210>
400,0.005474695718536774,0.00547249,0.86502904,0.005202447064220905,0.0052002403,0.87734866,elu,128,400,mean_absolute_error,Nadam
1200,1.5338294226104927e-05,0.002037585,0.9782858,1.4508528693113476e-05,0.001995896,0.9787752,elu,128,1200,mean_squared_error,RMSProp
1200,0.0019182882349317273,0.0019172647,0.97751683,0.0018637108150869608,0.0018626818,0.97797495,elu,128,1200,mean_absolute_error,RMSProp
800,0.0024920522252580633,0.0024907463,0.9650376,0.0023143773432821035,0.002313073,0.9691719,relu,64,800,mean_absolute_error,RMSProp
400,0.6913029745773033,0.45822692,0.00019152625,0.6912993788719177,0.45874554,0.00027835768,relu,128,400,binary_crossentropy,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x1555be210>
400,0.45859864530739963,0.45859858,0.00017335222,0.45912349224090576,0.45912343,0.00027835768,elu,128,400,mean_absolute_error,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x1555be210>
1200,0.20469282964865368,0.45041123,0.00012442216,0.2051171362400055,0.4509486,0.00013917884,relu,128,1200,mean_squared_error,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x1555be2d0>
800,0.6859565911469636,0.45525512,0.00021332472,0.6859487295150757,0.45577535,0.00027835768,relu,64,800,binary_crossentropy,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x1555be210>
400,0.4562374691168467,0.45623744,0.00022088429,0.45675334334373474,0.45675328,0.00027835768,relu,128,400,mean_absolute_error,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x1555be2d0>
400,0.15564553693488792,0.005869809,0.8486275,0.1543365865945816,0.005737503,0.85681975,elu,64,400,binary_crossentropy,Adam
1200,0.15564556033522994,0.005760827,0.8579276,0.15431039035320282,0.005492822,0.8703897,relu,128,1200,binary_crossentropy,Adam
800,0.15518004452740705,0.0036692913,0.93070626,0.15386992692947388,0.0034554573,0.93928325,relu,64,800,binary_crossentropy,Nadam
400,0.1551856287099697,0.0037073267,0.9316387,0.15387800335884094,0.0035091357,0.9385873,relu,128,400,binary_crossentropy,RMSProp
400,0.6897718928478382,0.4573739,0.00023403585,0.6897596120834351,0.45788935,0.00024356297,relu,64,400,binary_crossentropy,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x1555be210>
1200,4.844466071787152e-05,0.003916109,0.9243024,4.3623596866382286e-05,0.0036746268,0.932881,relu,64,1200,mean_squared_error,Nadam
1200,0.002499712386203033,0.0024986344,0.96344125,0.0023221680894494057,0.0023210873,0.9692415,relu,128,1200,mean_absolute_error,RMSProp
400,0.0039032517966848834,0.0039017585,0.9199737,0.00360725331120193,0.003605754,0.93576896,relu,128,400,mean_absolute_error,RMSProp
400,0.15609228003908088,0.00758217,0.76296926,0.15483158826828003,0.007742906,0.76391786,elu,128,400,binary_crossentropy,Adam
800,0.6704064713584053,0.44667277,0.00017475022,0.6704034209251404,0.44720528,0.0003131524,relu,128,800,binary_crossentropy,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x1555be2d0>
